iter	Passed	Remaining
0	228	162921
1	519	184577
2	787	186410
3	1051	186295
4	1280	181352
5	1512	178230
6	1743	175870
7	1970	173642
8	2203	172376
9	2430	170867
10	2651	169199
11	2874	167893
12	3102	167045
13	3342	166871
14	3573	166301
15	3797	165420
16	4021	164648
17	4239	163687
18	4474	163436
19	4699	162845
20	4920	162144
21	5142	161513
22	5368	161051
23	5594	160606
24	5827	160366
25	6053	159940
26	6276	159473
27	6501	159057
28	6725	158638
29	6968	158657
30	7196	158329
31	7420	157928
32	7642	157488
33	7864	157053
34	8099	156892
35	8330	156650
36	8580	156763
37	8807	156452
38	9032	156099
39	9321	156830
40	9538	156341
41	9761	155948
42	9984	155578
43	10211	155256
44	10444	155045
45	10669	154713
46	10909	154587
47	11136	154282
48	11359	153937
49	11597	153788
50	11819	153415
51	12041	153064
52	12262	152697
53	12489	152419
54	12724	152228
55	12945	151881
56	13167	151546
57	13393	151257
58	13622	150999
59	13856	150807
60	14078	150482
61	14305	150212
62	14533	149946
63	14754	149615
64	14991	149450
65	15212	149128
66	15438	148856
67	15661	148556
68	15885	148262
69	16122	148094
70	16351	147850
71	16576	147579
72	16804	147329
73	17025	147019
74	17261	146837
75	17483	146541
76	17709	146276
77	17951	146143
78	18176	145874
79	18412	145687
80	18645	145484
81	18869	145204
82	19097	144959
83	19327	144728
84	19570	144588
85	19794	144317
86	20015	144018
87	20240	143756
88	20463	143472
89	20697	143275
90	20936	143106
91	21168	142889
92	21389	142597
93	21616	142345
94	21856	142184
95	22080	141914
96	22309	141677
97	22531	141398
98	22756	141136
99	22992	140944
100	23214	140665
